id,page_slug,locale,section_key,content_type,content_value,updated_by,created_at,updated_at
00452f93-e18a-4c79-95a0-6ec5118644fe,rescuetest,en,section_3_title,text,Inclusions,seed-script,2026-03-28 14:22:37.579329+00,2026-04-05 06:07:44.846552+00
00480ad4-c08f-448c-ad4c-11c3213168cd,advanced,nl,section_2_content,text,Open Water Diver-brevet (of gelijkwaardig) en minimumleeftijd van 13 jaar.,seed-script,2026-03-28 14:22:36.581793+00,2026-04-05 04:55:41.878597+00
0049ecce-51e0-4b5f-9e24-bca20f6966cb,rescue,en,hero_title,text,PADI Rescue Diver.....,seed-script,2026-03-19 08:09:14.307416+00,2026-04-05 14:20:07.326295+00
005e4743-5299-4e06-a427-cc5efe2edf73,mango-baybay,en,overview-,text,Shallow coral reefs perfect for relaxed diving with thriving marine ecosystems.,,2026-03-27 13:40:10.789117+00,2026-04-07 13:03:49.356909+00
008b6201-325c-4da0-847b-a71cbd8dd58e,accommodationtest,nl,ctaButton,text,Stay with us at our resort accommodation,,2026-03-27 11:51:48.105016+00,2026-04-05 07:26:43.875112+00
01217185-2131-4a71-b029-9bb3c3d830e3,home,en,course_divemaster_title,text,"PADI Divemaster DMT

",contact@prodiving.asia,2026-03-12 10:01:50.741687+00,2026-04-07 21:26:24.045007+00
0153671c-fc29-4197-90d1-b4827336b2ad,instructor,en,bottom_cta,text,Send Booking Request,,2026-03-28 13:19:45.973231+00,2026-03-28 13:19:45.973231+00
0213f285-684d-4d8e-9505-7336dd66c613,msdt-program,nl,why_title,text,Waarom MSDT worden?,,2026-03-28 13:22:02.219507+00,2026-03-28 13:22:02.219507+00
02204905-af91-4373-b112-ea1fccc8032d,green-sea-turtle,nl,behavior,text,Brengt het grootste deel van de tijd grazend door op zeegrasvelden en migreert over lange afstanden om te nestelen. Jonge schildpadden maken een gevaarlijke tocht van strand naar zee.,seed-script,2026-03-28 14:15:08.09076+00,2026-03-28 14:15:08.09076+00
02294405-a785-4612-9a93-a1e38fc1dd22,fun-diving,en,fun_diving_ready_cta1,text,View Pricing & Schedules,,2026-03-27 12:57:03.657442+00,2026-03-27 13:12:21.590858+00
